name,link,description
cv,https://github.com/FilippoFranchini/cv,(contributor) Creates awesome data-driven cv's.
ascr,https://github.com/FilippoFranchini/ascr,(contributor) Maps sound sources using fixed microphone arrays.
dshm,https://github.com/FilippoFranchini/dshm,(author) Fits two-stage density surface Hurdle models and automates labour-intensive GIS routines.
adas,NA,(author & private) Maps sound sources using moving microphone arrays.
